IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.236.229,4,3,0.25,216.91,86.68
103.21.244.105,4,4,0.00,182.00,84.02
104.19.176.89,4,4,0.00,187.90,80.21
104.17.53.137,4,2,0.50,207.04,78.70
104.17.126.167,4,2,0.50,227.28,77.73
104.17.62.144,4,2,0.50,209.11,75.00
104.16.250.248,4,2,0.50,189.91,72.90
104.16.83.121,4,1,0.75,182.53,71.93
104.20.72.40,4,3,0.25,248.77,70.26
104.20.107.188,4,3,0.25,246.91,70.02
104.16.128.18,4,3,0.25,182.94,69.73
104.20.203.128,4,1,0.75,267.78,66.15
162.159.17.70,4,1,0.75,204.81,63.98
104.19.46.84,4,3,0.25,175.15,62.02
162.159.81.91,4,1,0.75,268.73,60.74
104.17.46.135,4,2,0.50,220.68,60.68
104.20.1.165,4,2,0.50,270.89,59.25
104.16.145.237,4,2,0.50,218.94,50.99
104.16.190.113,4,2,0.50,208.29,48.75
104.19.152.105,4,2,0.50,230.59,45.43
104.20.66.130,4,2,0.50,256.07,40.02
198.41.219.80,4,4,0.00,197.13,38.64
104.19.210.243,4,4,0.00,186.38,38.35
162.159.9.84,4,1,0.75,226.62,38.02
104.21.97.199,4,1,0.75,206.98,36.64
104.19.233.212,4,1,0.75,208.27,36.24
104.18.253.77,4,1,0.75,172.65,35.90
162.159.10.142,4,1,0.75,231.38,35.59
104.17.241.194,4,1,0.75,183.50,34.79
104.19.185.231,4,4,0.00,182.00,33.70
104.18.211.194,4,1,0.75,168.32,33.57
162.159.21.208,4,1,0.75,204.81,33.54
198.41.206.241,4,3,0.25,215.77,29.75
104.16.91.135,4,1,0.75,204.22,27.91
104.19.128.159,4,2,0.50,233.18,27.38
104.21.47.116,4,1,0.75,208.34,26.65
104.16.94.222,4,1,0.75,210.59,24.53
104.17.109.120,4,2,0.50,243.08,24.25
162.159.38.235,4,1,0.75,234.82,23.87
104.19.223.21,4,1,0.75,211.90,23.59
104.20.214.250,4,1,0.75,262.94,22.01
104.16.62.81,4,1,0.75,168.41,21.11
104.19.209.165,4,3,0.25,222.56,21.05
104.21.46.215,4,1,0.75,241.99,20.59
141.101.113.11,4,4,0.00,245.39,20.15
104.16.92.251,4,1,0.75,194.19,19.57
104.17.65.243,4,1,0.75,267.08,18.97
104.16.167.147,4,2,0.50,216.72,18.96
104.21.203.47,4,2,0.50,256.85,18.43
104.19.245.240,4,1,0.75,212.04,18.40
104.20.152.131,4,3,0.25,277.42,18.39
141.101.115.109,4,4,0.00,176.51,17.69
104.21.42.75,4,1,0.75,244.12,17.52
104.20.112.233,4,3,0.25,232.75,17.34
104.16.166.42,4,2,0.50,216.70,16.79
104.16.233.222,4,2,0.50,189.53,16.78
104.21.38.244,4,1,0.75,212.08,16.70
173.245.59.172,4,4,0.00,189.95,16.55
104.17.90.202,4,2,0.50,217.02,16.06
104.17.113.18,4,2,0.50,189.19,15.91
104.19.139.246,4,2,0.50,241.46,15.88
104.17.122.88,4,2,0.50,216.88,15.81
104.17.88.215,4,2,0.50,206.77,15.81
188.114.96.79,4,4,0.00,207.55,15.73
104.17.115.202,4,2,0.50,210.11,15.65
104.21.8.187,4,1,0.75,209.31,15.57
104.19.184.23,4,3,0.25,178.31,15.56
104.19.113.0,4,2,0.50,245.93,15.51
104.16.131.42,4,3,0.25,183.07,15.44
104.20.248.15,4,2,0.50,240.35,15.41
104.18.10.142,4,1,0.75,195.32,15.08
108.162.193.77,4,3,0.25,182.80,14.64
104.20.65.11,4,3,0.25,246.05,14.60
104.16.248.200,4,2,0.50,190.20,14.46
104.16.104.186,4,1,0.75,215.10,14.40
162.159.3.211,4,1,0.75,204.29,14.37
104.21.21.37,4,1,0.75,207.76,14.27
104.20.105.163,4,3,0.25,285.74,14.22
104.19.248.93,4,1,0.75,210.22,14.05
104.21.5.127,4,1,0.75,209.52,13.89
104.21.45.241,4,1,0.75,208.87,13.86
104.21.40.52,4,1,0.75,183.44,13.78
104.19.112.8,4,3,0.25,175.93,13.43
104.16.199.106,4,3,0.25,174.19,13.36
141.101.90.107,4,4,0.00,184.97,13.21
104.21.41.212,4,1,0.75,224.70,13.15
104.21.63.75,4,1,0.75,205.01,12.96
104.17.97.203,4,2,0.50,206.94,12.89
104.19.109.24,4,2,0.50,240.77,12.85
104.19.255.91,4,1,0.75,189.96,12.82
141.101.120.126,4,4,0.00,163.62,12.66
104.17.91.175,4,2,0.50,210.21,12.60
108.162.198.137,4,4,0.00,165.70,12.47
104.20.237.91,4,2,0.50,279.19,12.42
198.41.221.91,4,4,0.00,199.75,12.42
104.20.135.22,4,2,0.50,280.25,12.33
104.16.183.121,4,2,0.50,205.00,12.08
141.101.122.176,4,4,0.00,175.73,12.07
104.16.114.15,4,3,0.25,215.59,11.98
104.18.139.73,4,1,0.75,182.87,11.91
104.20.213.195,4,1,0.75,346.37,11.87
104.20.194.27,4,1,0.75,302.86,11.83
104.21.68.225,4,1,0.75,192.16,11.79
108.162.192.73,4,4,0.00,173.80,11.72
104.20.228.67,4,1,0.75,263.79,11.67
104.21.18.94,4,1,0.75,194.05,11.35
104.20.224.141,4,1,0.75,273.17,11.28
104.20.89.211,4,3,0.25,237.62,11.18
104.16.90.197,4,1,0.75,205.49,11.08
104.20.0.26,4,1,0.75,243.00,11.02
162.159.14.251,4,1,0.75,223.60,11.00
104.19.178.247,4,4,0.00,199.62,10.95
104.20.226.12,4,1,0.75,243.87,10.91
104.20.249.232,4,1,0.75,273.88,10.91
104.19.230.2,4,3,0.25,216.54,10.86
104.16.115.84,4,3,0.25,215.68,10.76
104.16.0.178,4,1,0.75,181.83,10.76
104.20.229.0,4,2,0.50,228.58,10.62
104.20.120.213,4,3,0.25,286.59,10.57
104.21.192.17,4,3,0.25,215.42,10.47
104.20.209.110,4,1,0.75,267.70,10.38
104.20.175.12,4,1,0.75,305.78,10.35
104.17.102.137,4,2,0.50,236.82,10.32
104.20.121.135,4,3,0.25,281.71,10.24
104.16.122.100,4,3,0.25,219.37,10.21
162.159.36.166,4,1,0.75,237.03,10.20
104.17.93.60,4,2,0.50,208.03,10.08
104.16.106.148,4,1,0.75,212.67,10.02
104.16.120.140,4,3,0.25,217.84,10.01
198.41.215.151,4,4,0.00,193.84,9.69
104.20.222.233,4,1,0.75,246.28,9.66
104.20.4.98,4,2,0.50,239.19,9.64
104.16.146.204,4,2,0.50,216.68,9.51
104.16.116.240,4,3,0.25,215.16,9.49
104.16.121.252,4,3,0.25,217.49,9.49
104.16.111.170,4,3,0.25,212.01,9.40
162.159.46.106,4,1,0.75,210.07,9.33
104.20.241.184,4,1,0.75,244.92,9.22
104.19.173.247,4,4,0.00,188.80,9.09
104.21.22.96,4,1,0.75,182.36,9.04
104.19.175.183,4,4,0.00,198.03,8.96
104.19.143.169,4,2,0.50,245.40,8.82
104.19.147.68,4,2,0.50,231.36,8.82
104.19.47.109,4,3,0.25,173.97,8.80
104.20.75.225,4,2,0.50,298.05,8.77
173.245.58.137,4,4,0.00,165.50,8.65
104.16.1.198,4,1,0.75,157.69,8.65
104.16.97.173,4,1,0.75,171.27,8.56
104.19.193.149,4,4,0.00,189.98,8.51
104.20.251.157,4,2,0.50,247.63,8.45
104.21.95.43,4,1,0.75,241.61,8.41
104.21.225.230,4,1,0.75,158.21,8.39
104.21.25.237,4,1,0.75,225.28,7.98
104.20.99.114,4,3,0.25,232.57,7.93
104.19.243.142,4,1,0.75,213.10,7.91
104.20.85.153,4,3,0.25,230.87,7.83
104.19.179.59,4,4,0.00,190.97,7.52
188.114.99.241,4,4,0.00,216.23,7.48
104.21.196.124,4,3,0.25,230.12,7.40
104.19.42.101,4,3,0.25,174.81,7.37
104.21.65.153,4,1,0.75,241.56,7.33
104.21.24.191,4,1,0.75,207.79,7.25
104.20.129.114,4,3,0.25,240.38,7.14
104.19.246.84,4,1,0.75,210.22,7.11
104.17.251.122,4,1,0.75,181.44,6.91
104.19.226.191,4,3,0.25,214.46,6.84
104.20.178.22,4,1,0.75,246.54,6.79
104.21.198.125,4,3,0.25,179.94,6.75
104.19.208.97,4,3,0.25,180.77,6.73
104.16.119.210,4,2,0.50,228.48,6.64
104.20.60.184,4,3,0.25,241.34,6.60
104.20.220.237,4,1,0.75,233.79,6.59
162.159.39.164,4,1,0.75,217.33,6.46
104.16.123.212,4,3,0.25,218.84,6.44
104.19.6.52,4,1,0.75,190.65,6.43
104.21.86.52,4,1,0.75,208.78,6.36
104.19.191.93,4,4,0.00,188.80,6.29
104.21.52.121,4,1,0.75,227.42,6.27
104.20.22.221,4,3,0.25,248.77,6.26
104.20.250.70,4,2,0.50,233.39,6.17
104.19.211.97,4,3,0.25,219.65,6.15
104.19.247.105,4,3,0.25,227.92,6.14
188.114.97.118,4,4,0.00,207.67,6.04
104.16.80.138,4,1,0.75,181.36,6.04
104.16.135.93,4,3,0.25,217.09,6.03
104.19.235.130,4,3,0.25,221.53,6.03
104.17.230.61,4,1,0.75,171.21,6.02
104.16.48.69,4,1,0.75,194.49,5.97
104.21.48.127,4,1,0.75,243.10,5.95
190.93.244.204,4,4,0.00,183.05,5.82
104.21.7.242,4,1,0.75,209.31,5.63
104.21.19.62,4,1,0.75,209.39,5.58
104.20.159.110,4,2,0.50,268.17,5.45
104.19.141.16,4,2,0.50,245.39,5.42
104.20.161.132,4,3,0.25,281.06,5.40
104.19.130.102,4,2,0.50,232.92,5.37
104.21.199.14,4,3,0.25,220.67,5.35
104.19.155.198,4,2,0.50,226.80,5.24
104.20.188.193,4,1,0.75,266.86,5.22
104.19.122.93,4,2,0.50,215.44,5.20
104.19.190.238,4,4,0.00,193.34,5.13
141.101.123.71,4,4,0.00,172.76,5.08
104.21.35.182,4,1,0.75,224.70,5.07
104.16.99.220,4,1,0.75,192.33,5.07
173.245.49.179,4,4,0.00,154.56,5.02
198.41.194.164,4,4,0.00,220.05,5.01
104.20.200.187,4,1,0.75,271.80,5.01
